No,samplingRate,deviceModel,accelerometerTimestamp,accelerometerTimeSinceBoot,rawAccelerationX,rawAccelerationY,rawAccelerationZ
97,200.0,"iPhone11,2",2022-07-28 17:40:34 +0000,539336.955909625,0.0325927734375,-0.0167083740234375,-1.026031494140625
98,200.0,"iPhone11,2",2022-07-28 17:40:34 +0000,539336.955909625,0.0325927734375,-0.0167083740234375,-1.026031494140625
99,200.0,"iPhone11,2",2022-07-28 17:40:34 +0000,539336.9659722917,0.03106689453125,-0.0096435546875,-1.0232391357421875
100,200.0,"iPhone11,2",2022-07-28 17:40:34 +0000,539336.9760352917,0.0230865478515625,-0.003387451171875,-1.022125244140625
101,200.0,"iPhone11,2",2022-07-28 17:40:34 +0000,539336.9760352917,0.0230865478515625,-0.003387451171875,-1.022125244140625
102,200.0,"iPhone11,2",2022-07-28 17:40:34 +0000,539336.9860972917,0.00872802734375,0.0023345947265625,-1.0022125244140625
103,200.0,"iPhone11,2",2022-07-28 17:40:34 +0000,539336.9860972917,0.00872802734375,0.0023345947265625,-1.0022125244140625
104,200.0,"iPhone11,2",2022-07-28 17:40:34 +0000,539336.9961592917,-0.005706787109375,0.0068359375,-0.9756622314453125
105,200.0,"iPhone11,2",2022-07-28 17:40:34 +0000,539337.0062212917,-0.0142822265625,0.005706787109375,-0.9634552001953125
106,200.0,"iPhone11,2",2022-07-28 17:40:34 +0000,539337.0062212917,-0.0142822265625,0.005706787109375,-0.9634552001953125
107,200.0,"iPhone11,2",2022-07-28 17:40:34 +0000,539337.0162832917,-0.013214111328125,-0.000518798828125,-0.9703369140625
108,200.0,"iPhone11,2",2022-07-28 17:40:34 +0000,539337.0162832917,-0.013214111328125,-0.000518798828125,-0.9703369140625
109,200.0,"iPhone11,2",2022-07-28 17:40:34 +0000,539337.0263462916,-0.0030975341796875,-0.00994873046875,-0.9988555908203125
110,200.0,"iPhone11,2",2022-07-28 17:40:34 +0000,539337.0364082917,0.0054473876953125,-0.017730712890625,-1.019683837890625
111,200.0,"iPhone11,2",2022-07-28 17:40:34 +0000,539337.0364082917,0.0054473876953125,-0.017730712890625,-1.019683837890625
112,200.0,"iPhone11,2",2022-07-28 17:40:34 +0000,539337.0464702917,0.009490966796875,-0.021209716796875,-1.0272979736328125
113,200.0,"iPhone11,2",2022-07-28 17:40:34 +0000,539337.0464702917,0.009490966796875,-0.021209716796875,-1.0272979736328125
114,200.0,"iPhone11,2",2022-07-28 17:40:34 +0000,539337.0565322917,0.0091552734375,-0.019744873046875,-1.022674560546875
115,200.0,"iPhone11,2",2022-07-28 17:40:34 +0000,539337.0665942917,0.0041351318359375,-0.0142974853515625,-1.0059661865234375
116,200.0,"iPhone11,2",2022-07-28 17:40:34 +0000,539337.0665942917,0.0041351318359375,-0.0142974853515625,-1.0059661865234375
117,200.0,"iPhone11,2",2022-07-28 17:40:34 +0000,539337.0766572917,-0.001617431640625,-0.006591796875,-0.9857635498046875
118,200.0,"iPhone11,2",2022-07-28 17:40:34 +0000,539337.0766572917,-0.001617431640625,-0.006591796875,-0.9857635498046875
