QuickDAQ Data
1/1/0001 12:00:00 AM
Notes:		
Sample Rate:	200	 Hz	
Measurement Type	Time Waveform	Time Waveform	Time Waveform	
Channel Name	DT9857E-16(00).Ain 1	DT9857E-16(00).Ain 2	DT9857E-16(00).Ain 3	
X Axis Units	Sec	Sec	Sec	
Y Axis Units	g	g	g	
Seconds	Real	Real	Real	
 0.8950000000	 8.60691E-004	 0.0015139580	 0.0012183189	
 0.9000000000	 0.0011062622	 0.0012588501	 0.0018131733	
 0.9050000000	 7.15256E-004	 0.0015616417	 0.0013756752	
 0.9100000000	 5.41210E-004	 0.0017237663	 9.69172E-004	
 0.9150000000	 5.67436E-004	 0.0018990040	 0.0010693073	
 0.9200000000	 0.0012147427	 0.0015532970	 0.0017237663	
 0.9250000000	 9.09567E-004	 0.0012290478	 0.0018382072	
 0.9300000000	 6.80685E-004	 0.0016796589	 0.0011014938	
 0.9350000000	 6.73532E-004	 0.0019538403	 0.0011813641	
 0.9400000000	 7.65324E-004	 0.0015413761	 0.0012969971	
 0.9450000000	 0.0011563301	 0.0012207031	 0.0014817715	
 0.9500000000	 6.93798E-004	 0.0016045570	 0.0016593933	
 0.9550000000	 0.0011265278	 0.0020384789	 0.0011849403	
 0.9600000000	 3.61204E-004	 0.0016224384	 0.0010836124	
 0.9650000000	 9.20296E-004	 0.0013375282	 0.0015020370	
 0.9700000000	 0.0010383129	 0.0013971329	 0.0014889240	
 0.9750000000	 4.16040E-004	 0.0017023087	 0.0013530254	
 0.9800000000	 8.89301E-004	 0.0018358231	 8.67844E-004	
 0.9850000000	 8.49962E-004	 0.0019693375	 0.0017940998	
 0.9900000000	 0.0012016296	 0.0011479855	 0.0018286705	
 0.9950000000	 0.0010073185	 0.0017297268	 0.0011920929	
 1.0000000000	 5.60284E-004	 0.0019621849	 0.0011181831	
 1.0050000000	 8.82149E-004	 0.0015521049	 0.0013458729	
 1.0100000000	 8.83341E-004	 0.0012969971	 0.0017976761	
 1.0150000000	 7.86781E-004	 0.0012683868	 0.0011706352	
 1.0200000000	 5.99623E-004	 0.0018835068	 0.0014328957	
 1.0250000000	 5.78165E-004	 0.0019991398	 0.0013756752	
 1.0300000000	 0.0010824203	 0.0014781952	 0.0013077259	
 1.0350000000	 9.77516E-004	 0.0013327599	 0.0019109249	
 1.0400000000	 0.0010049343	 0.0019061565	 0.0014925003	
 1.0450000000	 6.05583E-004	 0.0018680096	 8.58307E-004	
 1.0500000000	 6.96182E-004	 0.0016808510	 0.0013160706	
 1.0550000000	 0.0012004375	 0.0013744831	 0.0017690659	
 1.0600000000	 8.54731E-004	 0.0012791157	 0.0017070770	
 1.0650000000	 4.74453E-004	 0.0016880035	 9.01222E-004	
 1.0700000000	 8.70228E-004	 0.0017595291	 0.0010871887	
 1.0750000000	 8.65459E-004	 0.0014376640	 0.0017678738	
 1.0800000000	 0.0010359287	 0.0012969971	 0.0016617775	
 1.0850000000	 5.51939E-004	 0.0015568733	 0.0012862682	
 1.0900000000	 5.38826E-004	 0.0019264221	 0.0014054775	
 1.0950000000	 7.98702E-004	 0.0016331673	 0.0012969971	
 1.1000000000	 0.0011241436	 9.96590E-004	 0.0016319752	
 1.1050000000	 9.66787E-004	 0.0013124943	 0.0016009808	
 1.1100000000	 8.70228E-004	 0.0017201900	 9.26256E-004	
 1.1150000000	 4.55379E-004	 0.0017476082	 9.82285E-004	
 1.1200000000	 7.12872E-004	 0.0012207031	 0.0016403198	
 1.1250000000	 0.0012481213	 0.0013780594	 0.0021791458	
 1.1300000000	 5.69820E-004	 0.0015711784	 0.0014293194	
 1.1350000000	 7.91550E-004	 0.0019657612	 0.0010979176	
 1.1400000000	 0.0010657310	 0.0018441677	 0.0014507771	
 1.1450000000	 0.0013041496	 0.0012183189	 0.0016868114	
 1.1500000000	 0.0010728836	 0.0014865398	 0.0013470650	
 1.1550000000	 6.77109E-004	 0.0019395351	 0.0012385845	
 1.1600000000	 8.95262E-004	 0.0016999245	 0.0014519691	
 1.1650000000	 6.65188E-004	 0.0014638901	 0.0018107891	
 1.1700000000	 0.0011205673	 9.85861E-004	 0.0014936924	
 1.1750000000	 6.65188E-004	 0.0017356873	 0.0013589859	
 1.1800000000	 7.86781E-004	 0.0019431114	 8.82149E-004	
 1.1850000000	 8.83341E-004	 0.0012147427	 0.0014829636	
 1.1900000000	 6.68764E-004	 0.0010490417	 0.0019407272	
 1.1950000000	 0.0010657310	 0.0015151501	 0.0013709068	
 1.2000000000	 4.01735E-004	 0.0020158291	 0.0013041496	
 1.2050000000	 0.0011539459	 0.0016558170	 0.0011253357	
 1.2100000000	 0.0010216236	 0.0012326241	 0.0015258789	
 1.2150000000	 0.0011599064	 0.0013995171	 0.0015997887	
 1.2200000000	 5.42402E-004	 0.0019109249	 0.0011670589	
 1.2250000000	 6.40154E-004	 0.0018548965	 0.0014436245	
 1.2300000000	 9.45330E-004	 0.0012063980	 0.0018882751	
 1.2350000000	 0.0010025501	 0.0014996529	 0.0017070770	
 1.2400000000	 7.05719E-004	 0.0011920929	 0.0011289120	
 1.2450000000	 8.04663E-004	 0.0019717216	 0.0010871887	
 1.2500000000	 0.0010478497	 0.0015771389	 0.0011599064	
 1.2550000000	 0.0011646748	 0.0012552738	 0.0015294552	
 1.2600000000	 9.41753E-004	 0.0014984608	 0.0016617775	
 1.2650000000	 5.07832E-004	 0.0016713142	 0.0012290478	
 1.2700000000	 5.81741E-004	 0.0015592575	 0.0013995171	
 1.2750000000	 9.39369E-004	 0.0012040138	 0.0016391277	
 1.2800000000	 0.0012004375	 0.0013041496	 0.0014758110	
 1.2850000000	 9.15527E-004	 0.0015985966	 0.0011217594	
 1.2900000000	 7.21216E-004	 0.0016605854	 0.0012969971	
 1.2950000000	 9.35793E-004	 0.0013637543	 0.0013732910	
 1.3000000000	 0.0010418892	 0.0012791157	 0.0018286705	
 1.3050000000	 0.0011146069	 0.0016093254	 0.0015437603	
 1.3100000000	 7.59363E-004	 0.0016641617	 9.62019E-004	
 1.3150000000	 8.42810E-004	 0.0015068054	 0.0015330315	
 1.3200000000	 9.28640E-004	 0.0012040138	 0.0011146069	
 1.3250000000	 6.46114E-004	 0.0012886524	 0.0015485287	
 1.3300000000	 8.47578E-004	 0.0015544891	 0.0016021729	
 1.3350000000	 7.18832E-004	 0.0017356873	 0.0014173985	
 1.3400000000	 6.49691E-004	 0.0017464161	 0.0012648106	
 1.3450000000	 0.0013053417	 0.0012493134	 0.0015962124	
 1.3500000000	 9.22680E-004	 0.0013387203	 0.0011694431	
 1.3550000000	 0.0011062622	 0.0017333031	 0.0010097027	
 1.3600000000	 7.55787E-004	 0.0015306473	 0.0012743473	
 1.3650000000	 8.60691E-004	 0.0014507771	 0.0015628338	
 1.3700000000	 7.99894E-004	 0.0014364719	 0.0015461445	
 1.3750000000	 8.38041E-004	 0.0019407272	 0.0019466877	
 1.3800000000	 9.22680E-004	 0.0014054775	 0.0010025501	
 1.3850000000	 7.83205E-004	 0.0013720989	 0.0011980534	
 1.3900000000	 0.0011301041	 0.0016057491	 0.0012814999	
 1.3950000000	 0.0010120869	 0.0012075901	 0.0011062622	
 1.4000000000	 7.59363E-004	 0.0017368793	 0.0014340878	
 1.4050000000	 0.0010192394	 0.0018346310	 0.0016534328	
 1.4100000000	 7.25985E-004	 0.0014579296	 0.0014936924	
 1.4150000000	 8.80957E-004	 0.0013625622	 0.0015246868	
 1.4200000000	 0.0010156631	 0.0016427040	 0.0012433529	
 1.4250000000	 7.60555E-004	 0.0016927719	 0.0011003017	
 1.4300000000	 0.0010633469	 0.0014019012	 0.0016343594	
 1.4350000000	 0.0010132790	 0.0015735626	 0.0016403198	
 1.4400000000	 8.26120E-004	 0.0015509129	 0.0014066696	
 1.4450000000	 7.80821E-004	 0.0014853477	 0.0012326241	
 1.4500000000	 0.0011301041	 0.0013732910	 0.0012576580	
 1.4550000000	 0.0011765957	 0.0014805794	 0.0013768673	
 1.4600000000	 0.0010228157	 0.0016283989	 0.0012135506	
 1.4650000000	 9.87053E-004	 0.0014245510	 0.0012004375	
 1.4700000000	 5.93662E-004	 0.0016033649	 0.0014412403	
 1.4750000000	 9.02414E-004	 0.0015187263	 0.0015938282	
 1.4800000000	 7.55787E-004	 0.0015830994	 0.0016319752	
 1.4850000000	 8.15392E-004	 0.0013434887	 0.0012886524	
 1.4900000000	 0.0011193752	 0.0016534328	 0.0011444092	
 1.4950000000	 9.33409E-004	 0.0013542175	 0.0010991096	
 1.5000000000	 0.0012063980	 0.0011920929	 0.0012803078	
 1.5050000000	 8.83341E-004	 0.0014865398	 0.0014746189	
 1.5100000000	 5.50747E-004	 0.0016105175	 0.0012266636	
 1.5150000000	 8.07047E-004	 0.0014269352	 0.0014424324	
 1.5200000000	 9.11951E-004	 0.0013303757	 0.0014960766	
 1.5250000000	 9.04799E-004	 0.0016474724	 0.0012207031	
 1.5300000000	 8.98838E-004	 0.0016963482	 0.0015485287	
 1.5350000000	 8.72612E-004	 0.0013065338	 0.0011301041	
 1.5400000000	 8.70228E-004	 0.0014555454	 0.0013875961	
 1.5450000000	 7.51019E-004	 0.0014531612	 0.0014579296	
 1.5500000000	 9.72748E-004	 0.0016164780	 0.0013613701	
 1.5550000000	 8.79765E-004	 0.0016891956	 0.0011789799	
 1.5600000000	 9.03606E-004	 0.0015974045	 0.0012731552	
 1.5650000000	 0.0013852119	 0.0013136864	 0.0013828278	
 1.5700000000	 7.87973E-004	 0.0013232231	 0.0013625622	
 1.5750000000	 6.73532E-004	 0.0017762184	 0.0013124943	
 1.5800000000	 7.91550E-004	 0.0016307831	 0.0017595291	
 1.5850000000	 7.17640E-004	 0.0012040138	 0.0013446808	
 1.5900000000	 9.14335E-004	 0.0012564659	 0.0012123585	
 1.5950000000	 9.41753E-004	 0.0017988682	 0.0014579296	
 1.6000000000	 0.0011408329	 0.0012624264	 0.0010824203	
 1.6050000000	 0.0010752678	 0.0013411045	 0.0012803078	
 1.6100000000	 7.12872E-004	 0.0014257431	 0.0014328957	
 1.6150000000	 4.64916E-004	 0.0015294552	 0.0011539459	
 1.6200000000	 6.99759E-004	 0.0014030933	 0.0015211105	
 1.6250000000	 0.0010061264	 0.0010430813	 0.0014543533	
 1.6300000000	 7.00951E-004	 0.0014698505	 0.0011670589	
 1.6350000000	 9.29832E-004	 0.0014925003	 0.0010871887	
 1.6400000000	 0.0010430813	 0.0013613701	 0.0011074543	
